,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query,type_,tech,min_size,lifetime,raised_month,k_raised,m_raised,b_raised,latitude,longitude,address
0,2010-07-01,startup,https://angel.co/vufind-1,berkeley,enterprise resource planning,vufind (dba deepvu),deep learning as a service for maximizing margins for brands,680000.0,11-50,seed,deepvu.co,artificial intelligence,startup,python,11,105,6476.190476190476,680.0,0.68,0.00068,,-122.2728639,
1,2010-12-01,startup,https://angel.co/nmodes,toronto,customer service,nmodes,nmodes creates artificial intelligence solutions for the business sales process.,100000.0,1-10,seed,nmodes.com,artificial intelligence,startup,python,1,100,1000.0,100.0,0.1,0.0001,43.653963,-79.387207,
2,2012-01-01,startup,https://angel.co/tagasauris,santa monica,data mining,tagasauris,video search and discovery platform,1000000.0,1-10,seed,tagasauris.com,artificial intelligence,startup,python,1,86,11627.906976744185,1000.0,1.0,0.001,34.0250724,-118.4965129,
3,2012-04-01,startup,https://angel.co/zoemob,san francisco,location based services,zoemob,global family assistant,800000.0,1-10,seed,zoemob.com,artificial intelligence,startup,python,1,83,9638.55421686747,800.0,0.8,0.0008,37.7792808,-122.4192363,
4,2012-11-01,startup,https://angel.co/encorealert,san francisco,machine learning,encore,the first automated data scientist for marketers and pr,987000.0,1-10,seed,encorehq.com,artificial intelligence,startup,python,1,76,12986.842105263158,987.0,0.987,0.000987,37.7792808,-122.4192363,
5,2013-04-01,startup,https://angel.co/healthy-stove,silicon valley,internet of things,healthy stove,smart technology for eating smarter,88000.0,1-10,seed,healthystove.com,artificial intelligence,startup,python,1,71,1239.4366197183099,88.0,0.088,8.8e-05,37.4429964,-122.1545229,
6,2013-11-01,startup,https://angel.co/quinto,pune,location based services,quinto,food discovery & recommendation,,1-10,seed,quintoapp.com,artificial intelligence,startup,python,1,64,,,,,18.5203062,73.8543185,
7,2013-10-01,startup,https://angel.co/apartmentocean,new york city,messaging,apartment ocean,ai platform for customer service in real estate,370000.0,11-50,seed,apartmentocean.com,artificial intelligence,startup,python,11,65,5692.307692307692,370.0,0.37,0.00037,40.7308619,-73.9871558,
8,2014-01-01,startup,https://angel.co/redcarpetup-com-1,,consumer lending,redcarpet.cash,data driven lending for purchase finance and installments. ml based credit scoring,120000.0,51-200,seed,redcarpetup.com,artificial intelligence,startup,python,51,62,1935.483870967742,120.0,0.12,0.00012,,,
9,2014-02-01,startup,https://angel.co/voyadi,los angeles,virtual reality,voyadi,travel with passion and purpose,,11-50,seed,voyadi.com,artificial intelligence,startup,python,11,61,,,,,34.0536834,-118.2427669,
